sigma_obs,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
0.0,2000,2000,0.0,0.2795,0.26026989271326295,0.2995755251377695,0.996,0.9921265357039621,0.9979717533930348,1.0,0.9980829527187469,0.9999999999999998,0.19258512759453233,0.23757308566687202,0.23298953562896874,0.5928349554643467,0.0
1e-06,2000,2000,0.0,0.261,0.24222361981486246,0.28069272878557644,0.997,0.9934700849260646,0.9986243700763698,1.0,0.9980829527187469,0.9999999999999998,0.20150661022071495,0.24310244694693545,0.24187817592957975,0.6095425815481951,0.0
1e-05,2000,2000,0.0,0.2685,0.2495345229290757,0.28835306996214444,0.9975,0.9941608466835673,0.9989316912715861,1.0,0.9980829527187469,0.9999999999999998,0.2042484531045583,0.2524088141268166,0.24131292584981476,0.5947348237166199,0.0
0.0001,2000,2000,0.0,0.2915,0.2719978646136677,0.3118015441026146,0.996,0.9921265357039621,0.9979717533930348,1.0,0.9980829527187469,0.9999999999999998,0.20558670679976737,0.2592281450183538,0.2402288448296086,0.6002741320123501,0.0
0.001,2000,2000,0.0,0.26,0.24124937608332822,0.2796708066116732,0.9965,0.9927928037467583,0.9983035683029576,1.0,0.9980829527187469,0.9999999999999998,0.2071706935544912,0.24559839520377064,0.24427111210113633,0.5915079312745625,0.0
0.01,2000,2000,0.0,0.0635,0.053626856130583093,0.0750467261459507,0.986,0.9798404131888422,0.9902962168537798,1.0,0.9980829527187469,0.9999999999999998,0.32083145510866556,0.2731725276477929,0.36104700709150733,0.7581902918246904,0.0
