encoding,prec_bits,arch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
b_chir,8,M5_quasars_50,2000,2000,0.0,0.9585,0.9488444508284481,0.9663976168146429,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.040548274021929495,0.03279008709607052,0.04586497517196106,0.09503853374731026,0.0
b_chir,8,M7_hybrid_all,2000,2000,0.0,0.7755,0.7566951910008709,0.7932485159471586,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.0672782324012504,0.053080854496650405,0.07478588294707801,0.14822271173318338,0.0
b_chir,32,M5_quasars_50,2000,2000,0.0,0.983,0.9763388128481535,0.987809319478156,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.0015990905749543498,0.0013174566933890253,0.0054281926405590295,0.004317576331507443,0.0
b_chir,32,M7_hybrid_all,2000,2000,0.0,0.9415,0.9303432888168623,0.9509639584337912,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.0393453741875982,0.034651580942711646,0.04754733728154101,0.10281665953407147,0.0
knn_chir,8,M5_quasars_50,2000,2000,0.0,0.955,0.9450093040187729,0.9632461829552866,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.040461544979095904,0.032092013915321856,0.046220859285764075,0.09606153597023265,0.0
knn_chir,8,M7_hybrid_all,2000,2000,0.0,0.774,0.7551549722724759,0.7917944858173974,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.06614655454757695,0.05431536087657371,0.07431072167124124,0.15005349368444815,0.0
knn_chir,32,M5_quasars_50,2000,2000,0.0,0.983,0.9763388128481535,0.987809319478156,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.00156751989080455,0.001296487416216875,0.0062108807399566925,0.012623146921536951,0.0
knn_chir,32,M7_hybrid_all,2000,2000,0.0,0.9435,0.9325050206793213,0.9527945583822073,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.03919489772416235,0.034402737458612574,0.04706445882999571,0.10323886252885034,0.0
