severity,p_mismatch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
baseline,0.0,2000,2000,0.0,0.041,0.03315349074927443,0.05060635865491575,0.976,0.9683245276915415,0.9818504432967055,0.9995,0.9971731374967338,0.9999117322692944,0.3893416067872273,0.3083388442800097,0.4534253400226469,0.8638900590602562,0.0005
baseline,0.01,2000,2000,0.0,0.038,0.030467599928741894,0.04730375175913581,0.974,0.9660647268553368,0.9801179123220352,1.0,0.9980829527187469,0.9999999999999998,0.4059270372167797,0.3398215526904607,0.4389660255243922,0.8976894475515815,0.0
baseline,0.05,2000,2000,0.0,0.041,0.03315349074927443,0.05060635865491575,0.9675,0.9587882596181988,0.9744193011738297,1.0,0.9980829527187469,0.9999999999999998,0.42088761941068065,0.32049242603878747,0.45491001570608053,0.9108176818143202,0.0
baseline,0.1,2000,2000,0.0,0.0385,0.03091432761660475,0.047855107023991705,0.964,0.9549055868457809,0.9713153932772162,1.0,0.9980829527187469,0.9999999999999998,0.4206965763835301,0.3312546586065546,0.46237851859577356,0.9439385869987702,0.0
baseline,0.2,2000,2000,0.0,0.0355,0.028239876230264,0.04454106069401996,0.9515,0.9411889997479057,0.9600799065571228,1.0,0.9980829527187469,0.9999999999999998,0.4451612852216683,0.35878795008922776,0.4909404363941518,0.9945083896170174,0.0
baseline,0.3,2000,2000,0.0,0.036,0.02868460672278366,0.04509441315421905,0.922,0.9094215182294803,0.9329604938651423,0.999,0.9963610657309615,0.9997257210823479,0.4780071868481207,0.40640432900680157,0.6007811408003572,1.138289008840643,0.001
baseline,0.5,2000,2000,0.0,0.016,0.011356235350080627,0.02249946641817221,0.792,0.773660456950297,0.8092199874374513,0.9765,0.9688912783026569,0.9822817756383091,0.6206630629323122,0.5568753606943901,1.8561117833506304,1.9191264780878432,0.012
optimistic,0.0,2000,2000,0.0,0.0435,0.03540128785854411,0.0533489763092398,0.977,0.9694587928717646,0.9827123440219199,1.0,0.9980829527187469,0.9999999999999998,0.39757260353260626,0.30638635982094353,0.4301841308442364,0.8686662640714311,0.0
optimistic,0.01,2000,2000,0.0,0.047,0.038561402365168564,0.05717544247164658,0.9775,0.9700270953304039,0.9831421245159996,1.0,0.9980829527187469,0.9999999999999998,0.39775959069089933,0.3212703471918534,0.43214991394398666,0.882821727581788,0.0
optimistic,0.05,2000,2000,0.0,0.0375,0.030021256563230403,0.04675201217192855,0.9735,0.9655014766396225,0.979683079585031,1.0,0.9980829527187469,0.9999999999999998,0.40784040786039555,0.32496507854012413,0.4404329220236536,0.8888055313562967,0.0
optimistic,0.1,2000,2000,0.0,0.0425,0.03450117971009799,0.05225291855224844,0.9685,0.9599017692818405,0.9753019574156255,1.0,0.9980829527187469,0.9999999999999998,0.4105329891904153,0.3398046194755536,0.44921349855309267,0.905568405811391,0.0
optimistic,0.2,2000,2000,0.0,0.0315,0.02469804258437448,0.0400982307181595,0.9485,0.9379251286390549,0.9573552799496612,0.9995,0.9971731374967338,0.9999117322692944,0.44728554748384763,0.35617431803030053,0.49913157868802194,1.0090593511234278,0.0
optimistic,0.3,2000,2000,0.0,0.029,0.022500401616129873,0.03730545692281039,0.912,0.8987812438332999,0.9236391092069477,1.0,0.9980829527187469,0.9999999999999998,0.48133667488606224,0.4097712926687642,0.5383354625756788,1.1321249398224404,0.0
optimistic,0.5,2000,2000,0.0,0.0215,0.016000780509074646,0.028833833739084404,0.7925,0.7741752306515731,0.8097032966888938,0.9835,0.9769190388862818,0.9882271763927466,0.6079181569551795,0.5160596296560377,1.4132647722551093,1.7593378434159779,0.0075
pessimistic,0.0,2000,2000,0.0,0.039,0.03136143254939691,0.04840608504391829,0.952,0.9417339082484883,0.9605330810092589,0.9955,0.9914694867812403,0.9976307193630382,0.4388895793065862,0.35477584205750123,0.7756299140276868,0.9972354196797649,0.0035
pessimistic,0.01,2000,2000,0.0,0.0305,0.02381739549016912,0.03898271190692737,0.9485,0.9379251286390549,0.9573552799496612,0.996,0.9921265357039621,0.9979717533930348,0.4377373539097055,0.35505023500543154,0.7252631061015457,1.0061359535685064,0.0035
pessimistic,0.05,2000,2000,0.0,0.0355,0.028239876230264,0.04454106069401996,0.949,0.9384684614587503,0.9578100300826845,0.996,0.9921265357039621,0.9979717533930348,0.45467801737023517,0.38497216330473605,0.8529173704523437,1.0043214558014513,0.0035
pessimistic,0.1,2000,2000,0.0,0.038,0.030467599928741894,0.04730375175913581,0.9345,0.9228026146574697,0.9445314712551214,0.9985,0.9955989674442294,0.9994897364163615,0.45227121784888286,0.3708104248964029,0.5678311449469752,1.0534159531344558,0.0015
pessimistic,0.2,2000,2000,0.0,0.0345,0.027351694147721588,0.04343307687112489,0.902,0.8881889015430704,0.9142697924428023,1.0,0.9980829527187469,0.9999999999999998,0.4824820757750896,0.40336680908459044,0.5505641132636823,1.189543360535895,0.0
pessimistic,0.3,2000,2000,0.0,0.024,0.018149556703294482,0.03167547230845831,0.8825,0.8676485316803879,0.8958849271494533,0.996,0.9921265357039621,0.9979717533930348,0.5156854805578811,0.4499443717149823,0.7902275204265317,1.3406812902820686,0.0025
pessimistic,0.5,2000,2000,0.0,0.0205,0.01514715886374858,0.02769128947897298,0.719,0.6988952847381477,0.7382650485526635,0.9535,0.9433703066271119,0.9618909314887917,0.6587928820943059,0.6575976073385489,3.606082801538552,4.0887360821753935,0.0305
