variant,t,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
M1b,1000.0,2000,1993,0.0034999999999999476,0.5015,0.4796051735058332,0.5233890753523228,0.5045,0.4826002089845764,0.5263825375898921,0.523,0.501086988268122,0.5448248275569404,0.0869099385797649,58.34465493653384,32.82754328502735,131.81941884456782,0.366
M1b,10000.0,2000,1947,0.026499999999999968,0.035,0.027795569156293554,0.04398728481527167,0.483,0.46115317354684554,0.504912006060717,0.501,0.4791060774040939,0.5228900885013437,1.537376416159133,64.26246863827494,34.35235620905616,131.07216767112303,0.366
M1b,100000.0,2000,1446,0.277,0.0,1.0842021724855044e-19,0.001917047281252934,0.0265,0.020316920414969065,0.03449852336037745,0.2955,0.2759109422022877,0.31587313013574464,6.9587391006077715,54.512422055404684,34.10843886499075,129.40404469639225,0.2665
M1b,1000000.0,2000,68,0.966,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,38.96989193833993,35.324716205078325,50.769742942672664,136.6512096620978,0.021
M1b,10000000.0,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
M1b,100000000.0,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
M1b_subst0.5,10000.0,2000,1943,0.02849999999999997,0.015,0.010527098037106688,0.021332437825708653,0.247,0.22859615967613203,0.2663738662481819,0.258,0.23930127713475113,0.27762657374937527,62.35697174638345,103.28197981255931,62.620031669921566,148.68045187759304,0.6455
M1b_subst0.5,100000.0,2000,1431,0.2845,0.0,1.0842021724855044e-19,0.001917047281252934,0.0105,0.006877887380873443,0.015998901907473176,0.146,0.13120331023942233,0.1621539592357047,58.07726137662912,97.2583371054717,61.731702699984936,147.07712365392825,0.4525
M1b_subst0.5,1000000.0,2000,74,0.963,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,65.0320916927736,62.66727813118618,67.29324867658981,125.9940676725108,0.0295
