encoding,mismatch_model,arch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
b_chir,injection,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
b_chir,injection,M5_quasars_50,2000,2000,0.0,0.203,0.1859487736382189,0.22118995244684533,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.17752466048093407,0.14685892540233647,0.19220449151911254,0.38968703256061454,0.0
b_chir,injection,M7_hybrid_all,2000,2000,0.0,0.034,0.026908260159560583,0.042878427906567144,0.962,0.9526962482408641,0.969532400071258,1.0,0.9980829527187469,0.9999999999999998,0.43199170867707226,0.33392276786266634,0.46912401426346406,0.9561414715421193,0.0
b_chir,permutation,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
b_chir,permutation,M5_quasars_50,2000,2000,0.0,0.1145,0.10127782200421726,0.12920022144962875,0.9955,0.9914694867812403,0.9976307193630382,0.9995,0.9971731374967338,0.9999117322692944,0.2562429874793266,0.21234587482646297,0.30656014714879426,0.6009804703845636,0.0005
b_chir,permutation,M7_hybrid_all,2000,2000,0.0,0.0235,0.017718224361690932,0.031108721697343113,0.7755,0.7566951910008709,0.7932485159471586,0.978,0.9705962109134398,0.9835710918856821,0.6176764652931451,0.5597141855477276,2.0397498990131218,2.0718959190404402,0.013
b_chir,substitution,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
b_chir,substitution,M5_quasars_50,2000,2000,0.0,0.087,0.07542647321668068,0.10015700783763422,0.8135,0.7958340915453663,0.8299639198092881,0.821,0.8035886153696912,0.8371806402757442,0.3150722314307993,0.37136244984678823,11.677389427867437,90.99244733105876,0.1295
b_chir,substitution,M7_hybrid_all,2000,2000,0.0,0.01,0.006482767876552687,0.015395938459075187,0.5045,0.4826002089845764,0.5263825375898921,0.6735,0.6526329088195019,0.6937018757739034,0.9904111378343199,28.81621180784132,21.754360300038627,112.67968165325755,0.2485
knn_chir,injection,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
knn_chir,injection,M5_quasars_50,2000,2000,0.0,0.273,0.2539244633475303,0.2929458761181584,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.14960917669257864,0.1260023202807657,0.1622665488244931,0.32747675104900675,0.0
knn_chir,injection,M7_hybrid_all,2000,2000,0.0,0.038,0.030467599928741894,0.04730375175913581,0.977,0.9694587928717646,0.9827123440219199,1.0,0.9980829527187469,0.9999999999999998,0.4143813415193009,0.3368906188949955,0.44601814299987563,0.8850445128077112,0.0
knn_chir,permutation,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
knn_chir,permutation,M5_quasars_50,2000,2000,0.0,0.102,0.08948985374022951,0.11603611589564782,0.9965,0.9927928037467583,0.9983035683029576,1.0,0.9980829527187469,0.9999999999999998,0.26333625928056764,0.21013450806135975,0.29017038321630667,0.5970647838960101,0.0
knn_chir,permutation,M7_hybrid_all,2000,2000,0.0,0.02,0.014721726201265444,0.027118639188737373,0.7865,0.768000614864056,0.803900917043786,0.9745,0.9666286379543997,0.9805520841756913,0.6126243781440932,0.5586440793097925,2.3178263485178285,2.0432078558088445,0.017
knn_chir,substitution,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
knn_chir,substitution,M5_quasars_50,2000,1986,0.007000000000000006,0.064,0.05408699935255319,0.07558466587669936,0.835,0.8180932994996616,0.8506222788218988,0.8675,0.8519344977866566,0.8816564724616224,0.3504447415718044,0.39700720933201844,8.982905629055875,77.88643739396784,0.0975
knn_chir,substitution,M7_hybrid_all,2000,1774,0.11299999999999999,0.01,0.006482767876552687,0.015395938459075187,0.399,0.37775199146451166,0.42063525208630137,0.5975,0.5758404814872059,0.6187856942929498,1.2048899425045305,28.52124895439451,22.343913948157947,116.72255119314742,0.218
