cls,n,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
quasar,1,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
quasar,3,2000,1762,0.119,0.827,0.8098000496879411,0.8429462013901193,0.861,0.8451451875937891,0.8754707042691462,0.8705,0.8550719644987861,0.8845075034658054,0.010353424677825351,0.015731635479301273,0.6131552519983714,0.1251705243261587,0.0055
quasar,10,2000,2000,0.0,0.9835,0.9769190388862818,0.9882271763927466,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.0038531906153575,0.0032134895898754752,0.011505237490668823,0.00961273714074434,0.0
quasar,20,2000,2000,0.0,0.976,0.9683245276915415,0.9818504432967055,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.0025670289162997503,0.0020073851244297005,0.009474712099240768,0.006213692526875655,0.0
quasar,50,2000,2000,0.0,0.9765,0.9688912783026569,0.9822817756383091,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.0015974427753728,0.0013848594815820503,0.007152596117153026,0.038691940189389554,0.0
quasar,100,2000,2000,0.0,0.9965,0.9927928037467583,0.9983035683029576,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.00121692337521665,0.0010890967575902,0.006101101158474171,0.0435981719088972,0.0
star,1,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0
star,3,2000,1540,0.22999999999999998,0.0255,0.019447915824308683,0.033371362045600345,0.587,0.5652744714209811,0.6083919623520809,0.754,0.7346499128118176,0.772376227169306,0.5195121471709897,0.6677091734509174,1.3647063581318908,2.8499564620075097,0.004
star,10,2000,2000,0.0,0.193,0.17629898745996453,0.21087807957072474,0.9965,0.9927928037467583,0.9983035683029576,1.0,0.9980829527187469,0.9999999999999998,0.1898878188520167,0.15642605821197605,0.21045568474474696,0.4316665548099739,0.0
star,20,2000,2000,0.0,0.3765,0.3555216996238141,0.39795181105465527,0.9995,0.9971731374967338,0.9999117322692944,1.0,0.9980829527187469,0.9999999999999998,0.1239485224278712,0.0980448858344136,0.1381035718863702,0.2768771065143185,0.0
star,50,2000,2000,0.0,0.654,0.6328748854977199,0.6745346639396542,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.07960016123229186,0.062126605029664037,0.08741901383777811,0.17568245460054813,0.0
star,100,2000,2000,0.0,0.878,0.8629271316619076,0.8916235805934651,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.05489632332342495,0.04253251137387848,0.06006597802760366,0.12362739147306404,0.0
