arch,estimator,p_mismatch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
M3_stars_50,huber,0.0,2000,505,0.7475,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0025,0.0010683087284139143,0.005839153316432755,46.26617729754293,50.60416514616155,58.25459140355376,137.8770883461341,0.1815
M3_stars_50,huber,0.05,2000,524,0.738,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0025,0.0010683087284139143,0.005839153316432755,54.630611860867226,62.637307930704374,63.538411867175704,135.19548434564967,0.195
M3_stars_50,huber,0.2,2000,542,0.729,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0025,0.0010683087284139143,0.005839153316432755,57.39456642707451,63.9870856585371,67.69828074454274,149.03401947146656,0.2125
M3_stars_50,huber,0.5,2000,489,0.7555000000000001,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0015,0.0005102635836384819,0.004401032555770693,66.94266818543107,62.91508046894176,72.32333617728233,149.67266918169818,0.203
M3_stars_50,ls,0.0,2000,546,0.727,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,0.0035,0.0016964316970424177,0.007207196253241745,52.12625490387345,58.64754698637569,61.46704063123136,138.7110145521267,0.2015
M3_stars_50,ls,0.05,2000,496,0.752,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.002,0.0007780273070510575,0.005131351785076866,50.36347413166859,58.93422014901384,61.9568544887425,135.4612203333273,0.1895
M3_stars_50,ls,0.2,2000,523,0.7384999999999999,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.003,0.0013756299236301083,0.006529915073935308,54.36098159552713,55.146465280936695,64.24701277147298,139.8831190084462,0.207
M3_stars_50,ls,0.5,2000,542,0.729,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,66.36659888861075,62.84046459565619,73.45274446291059,149.91528699381593,0.229
M3_stars_50,ransac,0.0,2000,107,0.9465,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,47.83414169482978,50.67420185564616,56.65200817533094,127.21655562472311,0.0385
M3_stars_50,ransac,0.05,2000,110,0.945,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,59.47936930925373,61.21041308496756,64.44460998756169,138.2517963384919,0.0425
M3_stars_50,ransac,0.2,2000,108,0.946,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,8.826773070546787e-05,0.0028268625032662133,55.1906780859344,58.158625015864054,65.35520474571028,140.48700871375513,0.0445
M3_stars_50,ransac,0.5,2000,108,0.946,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,57.107393503056926,64.31237688519897,64.22114328465928,138.24143257985864,0.039
M5_quasars_50,huber,0.0,2000,2000,0.0,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.01510297083818515,0.011599994532286799,0.016318646635221583,0.031813816629729035,0.0
M5_quasars_50,huber,0.05,2000,2000,0.0,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.01660927247634425,0.0129198028319036,0.017813646005320018,0.03434049053068569,0.0
M5_quasars_50,huber,0.2,2000,2000,0.0,0.9815,0.9746052332822633,0.9865486501858901,0.992,0.9870439223284629,0.995069703146784,0.997,0.9934700849260646,0.9986243700763698,0.0226948978078228,0.019406682566887528,0.06927738254424472,0.05886792212440331,0.0
M5_quasars_50,huber,0.5,2000,2000,0.0,0.053,0.04401045720579706,0.06370338306364304,0.112,0.09891575901603857,0.12657186967421372,0.326,0.30580717922742506,0.3468599532264509,8.87470645950975,12.884269786481386,11.549847157936625,32.28094815523996,0.0665
