arch,t,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic
M3_stars_50,1000.0,10000,10000,0.0,0.9796,0.9766395636858811,0.982192105076966,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.00815090561387865,0.006619705474449226,0.012920820820201987,0.027032166020845093,0.0
M3_stars_50,10000.0,10000,10000,0.0,0.6678,0.6585056374547507,0.6769654926920501,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.07852971866363215,0.06217379538658652,0.08606606652360745,0.17340589617562005,0.0
M3_stars_50,100000.0,10000,10000,0.0,0.0031,0.002184864524503692,0.004396753056274708,0.2525,0.24408114947527973,0.2611089297182051,0.9978,0.9966710407999471,0.9985466504222074,1.5682636897087798,1.2539912711111736,1.6896606897660174,3.3865317500895973,0.0
M3_stars_50,1000000.0,10000,582,0.9418,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0009,0.00047357706058500574,0.0017097301130243718,45.856130667235206,50.589348989821524,54.45786715207934,124.93239193296333,0.0395
M3_stars_50,10000000.0,10000,0,1.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,,,,,1.0
M3_stars_50,100000000.0,10000,0,1.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,,,,,1.0
M5_quasars_50,1000.0,10000,10000,0.0,0.9855,0.9829636757481404,0.9876634618339326,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.001590496996588,0.0013250227547366,0.0055650936271977106,0.011935557789144917,0.0
M5_quasars_50,10000.0,10000,10000,0.0,0.9812,0.9783473383077018,0.983683101660359,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.00159201864748815,0.00129718210957545,0.006186353893763184,0.01965951331339245,0.0
M5_quasars_50,100000.0,10000,10000,0.0,0.9813,0.978454233071307,0.9837761300970796,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.0022783647614148,0.0018625973361157003,0.006883373287276659,0.023200385476880105,0.0
M5_quasars_50,1000000.0,10000,10000,0.0,0.9756,0.9723884602483912,0.9784462805014211,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.0162804314148731,0.01329443009272115,0.021558957909317677,0.045008147061048866,0.0
M5_quasars_50,10000000.0,10000,10000,0.0,0.2372,0.22896488607538704,0.24563694346824053,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.16105579307831225,0.12738629045410987,0.17387803681515243,0.34624149528205184,0.0
M5_quasars_50,100000000.0,10000,10000,0.0,0.0002,5.484892732085777e-05,0.0007289958440074673,0.0403,0.03661872063908074,0.04433432746291932,0.6523,0.6429089900935941,0.6615740440026977,4.046470987664161,3.1652000027496823,4.335936291530442,8.504448698389405,0.0
M7_hybrid_all,1000.0,10000,10000,0.0,0.9751,0.971858680211047,0.9779764445371358,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.0045476417429319,0.003919525718584475,0.010463529856703293,0.013350199367490273,0.0
M7_hybrid_all,10000.0,10000,10000,0.0,0.9429,0.9381798458452264,0.9472800083980282,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0,0.0392651369474408,0.03579812619422672,0.04802355994545048,0.10398032326166218,0.0
M7_hybrid_all,100000.0,10000,10000,0.0,0.1567,0.14970715926623746,0.16395649401506912,0.9981,0.9970342049827606,0.9987832558403712,1.0,0.9996160016293234,1.0,0.2244372082032558,0.20774713209048573,0.25588943405637904,0.5635233924696776,0.0
M7_hybrid_all,1000000.0,10000,10000,0.0,0.2901,0.2812874642874705,0.2990737382285395,0.9949,0.9933012294962659,0.9961186889164383,1.0,0.9996160016293234,1.0,0.20211418441706344,0.2589977995733694,0.2421155550631983,0.616142936633946,0.0
M7_hybrid_all,10000000.0,10000,10000,0.0,0.0435,0.039674290803033356,0.04767629970939436,0.9711,0.9676313089835055,0.9742068877516429,1.0,0.9996160016293234,1.0,0.41548191715521043,0.329914805955526,0.4500735062092982,0.9004047393490127,0.0
M7_hybrid_all,100000000.0,10000,9926,0.007399999999999962,0.0003,0.00010203219941781012,0.0008817357722363795,0.0138,0.01169303356334014,0.01628036645230578,0.2717,0.26307027379434433,0.2805050598617065,7.7106557967233424,7.93654063065004,14.782153975371868,65.83894348715765,0.0938
