encoding,prec_bits,arch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic,mean_bits
b_chir,8,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1744.808
b_chir,8,M5_quasars_50,2000,2000,0.0,0.2135,0.19609908295621392,0.23199938513594393,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.1696564091756098,0.12999450195406978,0.1818094532074586,0.36058781633856724,0.0,4466.5415
b_chir,8,M7_hybrid_all,2000,2000,0.0,0.034,0.026908260159560583,0.042878427906567144,0.963,0.9538001190471888,0.9704246951703708,1.0,0.9980829527187469,0.9999999999999998,0.421794364755941,0.3415552184911891,0.4612879490575098,0.9349980191168312,0.0,2559.576
b_chir,16,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1905.088
b_chir,16,M5_quasars_50,2000,2000,0.0,0.2565,0.23784054479706326,0.2760930572289069,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.15848207458891733,0.12718043922511668,0.1685393036546894,0.33661129590166206,0.0,4866.5415
b_chir,16,M7_hybrid_all,2000,2000,0.0,0.036,0.02868460672278366,0.04509441315421905,0.974,0.9660647268553368,0.9801179123220352,1.0,0.9980829527187469,0.9999999999999998,0.4098027790424622,0.336734006138832,0.44520524964175123,0.8985767757687255,0.0,2800.664
b_chir,32,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,2225.2
b_chir,32,M5_quasars_50,2000,2000,0.0,0.235,0.2169366617147952,0.2540793733442688,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.16369697271133815,0.1311088763262515,0.17474167233676882,0.3448182404060368,0.0,5667.2635
b_chir,32,M7_hybrid_all,2000,2000,0.0,0.047,0.038561402365168564,0.05717544247164658,0.969,0.9604592717918264,0.9757425378583581,1.0,0.9980829527187469,0.9999999999999998,0.4201194047443634,0.3347710393582059,0.4477475714997386,0.9175203572997382,0.0,3280.288
b_chir,64,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,2864.72
b_chir,64,M5_quasars_50,2000,2000,0.0,0.238,0.219849644634618,0.25715488814075843,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.1673263241882273,0.13267785754368738,0.1756249187394807,0.3380040566162213,0.0,7266.5985
b_chir,64,M7_hybrid_all,2000,2000,0.0,0.042,0.0340516147420547,0.05170440056757297,0.963,0.9538001190471888,0.9704246951703708,1.0,0.9980829527187469,0.9999999999999998,0.42459456040748556,0.3385100686988851,0.461367684991185,0.9444175488081356,0.0,4240.152
b_only,8,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1088.0
b_only,8,M5_quasars_50,2000,2000,0.0,0.1275,0.11359324283698286,0.14283495738755053,0.5315,0.5095909682760833,0.5532882577451976,0.5455,0.523611383074441,0.5672141656229649,0.3255690775461766,56.680662179929584,31.1522365178146,122.46300105271634,0.361,2528.0
b_only,8,M7_hybrid_all,2000,2000,0.0,0.0295,0.02293885238774463,0.037865089103914375,0.4815,0.45965837761892475,0.5034125531304815,0.5145,0.4925893434535915,0.536355062175252,1.7212085334087006,57.195682031932826,32.350440868013244,126.73978823123747,0.379,1568.0
b_only,16,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1248.0
b_only,16,M5_quasars_50,2000,2000,0.0,0.1235,0.10979828036261141,0.13864525624017204,0.5065,0.4845973363535631,0.5283777420317803,0.5195,0.4975871916271909,0.5413380435288401,0.4335027526417999,59.45624357892709,32.97678676878188,129.8554347990166,0.3685,2928.0
b_only,16,M7_hybrid_all,2000,2000,0.0,0.0285,0.022062516054529094,0.03674525953169242,0.513,0.4910904157100915,0.534859741060596,0.5375,0.5155976013274554,0.5592586201264506,0.8971185152180188,61.36498069757502,33.13686861470233,129.9106603851467,0.3705,1808.0
b_only,32,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1568.0
b_only,32,M5_quasars_50,2000,2000,0.0,0.113,0.09986032758661222,0.12762346700907756,0.5,0.4781079507511692,0.5218920492488308,0.5195,0.4975871916271909,0.5413380435288401,1.058540975708946,61.21777956916919,33.319746269855415,127.73897949687432,0.3705,3728.0
b_only,32,M7_hybrid_all,2000,2000,0.0,0.0205,0.01514715886374858,0.02769128947897298,0.502,0.4801042914579538,0.5238880403529212,0.5395,0.517600517072657,0.5612480361921239,0.9904214914654754,56.77498091235533,32.50656467537732,128.3485150309761,0.357,2288.0
b_only,64,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,2208.0
b_only,64,M5_quasars_50,2000,2000,0.0,0.128,0.11406794714574633,0.1433583360315058,0.5085,0.4865948134137185,0.5303725967825,0.528,0.506088561205658,0.5498040841465919,0.4244241945955497,57.49256156239315,32.19143775125684,127.87109113790501,0.368,5328.0
b_only,64,M7_hybrid_all,2000,2000,0.0,0.0255,0.019447915824308683,0.033371362045600345,0.49,0.4681314916764637,0.5119068492691612,0.521,0.499086973019876,0.5428325109943114,1.1695895441926774,54.45878050233659,31.991517721365874,128.5993965129878,0.3665,3248.0
knn,8,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1385.036
knn,8,M5_quasars_50,2000,2000,0.0,0.1105,0.0974995577117205,0.12499382212037552,0.5035,0.48160177641921836,0.5253848042498127,0.522,0.5000869368168238,0.5438287131028011,0.4843800080483568,60.430859613308655,33.29799599479338,130.4714232622929,0.3725,3272.748
knn,8,M7_hybrid_all,2000,2000,0.0,0.0185,0.013451349814109871,0.025394766717736703,0.4975,0.4756130164970905,0.5193965687393156,0.5285,0.506588839183156,0.5503018891218124,1.0263254359993077,55.486035614055,31.055250639028802,119.48339610836271,0.359,2014.0
knn,16,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,1842.208
knn,16,M5_quasars_50,2000,2000,0.0,0.1185,0.10506147973311827,0.1334012273424777,0.502,0.4801042914579538,0.5238880403529212,0.5165,0.49458822007482495,0.5383485173648935,0.7499456167363032,58.052701818078596,32.53759608030903,125.06885062022015,0.378,4418.76
knn,16,M7_hybrid_all,2000,2000,0.0,0.02,0.014721726201265444,0.027118639188737373,0.4885,0.4666357769044239,0.5104083151830447,0.524,0.502087127397443,0.5458208543330569,1.1703713258718702,62.1084379611361,33.09766005984509,129.51673508871664,0.3645,2700.04
