encoding,prec_bits,arch,n_mc,n_valid,p_invalid,p_err<0.1deg,p_err<0.1deg_lo,p_err<0.1deg_hi,p_err<1.0deg,p_err<1.0deg_lo,p_err<1.0deg_hi,p_err<5.0deg,p_err<5.0deg_lo,p_err<5.0deg_hi,median_err_deg,iqr_err_deg,mean_err_deg,p95_err_deg,p_catastrophic,mean_bits
knn,32,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,2756.352
knn,32,M5_quasars_50,2000,2000,0.0,0.1155,0.10222324031966848,0.13025096903961503,0.51,0.4880931507308387,0.5318685083235363,0.5275,0.5055883051812351,0.5493062572182958,0.388775397276042,59.69867285410993,32.65066583580682,132.41815040811238,0.3625,6704.432
knn,32,M7_hybrid_all,2000,2000,0.0,0.024,0.018149556703294482,0.03167547230845831,0.505,0.4830994580460823,0.5268813714811051,0.532,0.5100914000331974,0.5537859089408025,0.9462773894918584,59.9747261556717,32.63267210449011,127.91052179212151,0.363,4070.848
knn,64,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,4581.792
knn,64,M5_quasars_50,2000,2000,0.0,0.1215,0.10790262043403129,0.13654858435787717,0.51,0.4880931507308387,0.5318685083235363,0.5305,0.5085901706994292,0.5522928894164142,0.40132084862759887,61.53631477299832,33.225185349811,133.0942073918625,0.366,11279.456
knn,64,M7_hybrid_all,2000,2000,0.0,0.021,0.015573520825817387,0.028263010469622922,0.508,0.48609541136198264,0.5298739158815173,0.5395,0.517600517072657,0.5612480361921239,0.9432935216311982,59.2014750933479,31.977219471372834,128.15923659608345,0.3635,6819.04
knn_chir,8,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,2041.452
knn_chir,8,M5_quasars_50,2000,2000,0.0,0.2115,0.19416431340180168,0.22994182287948117,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.1645701548051846,0.12685298117828453,0.17809848433074152,0.35116001018552767,0.0,5210.6515
knn_chir,8,M7_hybrid_all,2000,2000,0.0,0.034,0.026908260159560583,0.042878427906567144,0.9635,0.9543526494507533,0.9708702477195252,1.0,0.9980829527187469,0.9999999999999998,0.4124265110834413,0.33809201411238926,0.4574900357524992,0.9287689690585723,0.0,3006.684
knn_chir,16,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,2498.408
knn_chir,16,M5_quasars_50,2000,2000,0.0,0.2285,0.21062964231576428,0.24741131435795602,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.16036744569525385,0.11891418882724124,0.17112657598205117,0.32981152502686706,0.0,6354.744
knn_chir,16,M7_hybrid_all,2000,2000,0.0,0.0405,0.03270494331440327,0.05005682313706816,0.9735,0.9655014766396225,0.979683079585031,1.0,0.9980829527187469,0.9999999999999998,0.40340892058279887,0.3330295828900589,0.4458232478491818,0.899282195734282,0.0,3692.616
knn_chir,32,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,3410.432
knn_chir,32,M5_quasars_50,2000,2000,0.0,0.2445,0.2261654489104026,0.2638141622503176,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.15796905184213006,0.1273244892256182,0.17065639988620177,0.3358665234096484,0.0,8637.708
knn_chir,32,M7_hybrid_all,2000,2000,0.0,0.0365,0.02912975228047479,0.045647350549246665,0.9705,0.9621349108960856,0.9770611476122554,1.0,0.9980829527187469,0.9999999999999998,0.42496615633599855,0.33805355826084915,0.45870085872778643,0.9251179387814357,0.0,5063.92
knn_chir,64,M3_stars_20,2000,0,1.0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,1.0842021724855044e-19,0.001917047281252934,,,,,1.0,5239.656
knn_chir,64,M5_quasars_50,2000,2000,0.0,0.2335,0.21548065238959535,0.25254113381131243,1.0,0.9980829527187469,0.9999999999999998,1.0,0.9980829527187469,0.9999999999999998,0.16020408493151467,0.11951275739147223,0.17008550145115675,0.33182462555890285,0.0,13215.5755
knn_chir,64,M7_hybrid_all,2000,2000,0.0,0.036,0.02868460672278366,0.04509441315421905,0.977,0.9694587928717646,0.9827123440219199,1.0,0.9980829527187469,0.9999999999999998,0.4134368294204463,0.3222397908582154,0.44728527500505444,0.8838316418775866,0.0,7810.712
