source_id,source_class,ra_deg,dec_deg,distance_optional,proper_motion_ra_optional,proper_motion_dec_optional,radial_velocity_optional,metadata_json_optional
1576683529448755328,star,193.50817846782093,55.95978477892376,,,,,"{""phot_g_mean_mag"": 1.731607}"
6560604777055249536,star,332.05907779469464,-46.96161734131188,,,,,"{""phot_g_mean_mag"": 1.7732803}"
1510374147844219904,star,206.8843267438112,49.313201807217496,,,,,"{""phot_g_mean_mag"": 1.881019}"
3377166289889430656,star,95.74037353106225,22.51309871600816,,,,,"{""phot_g_mean_mag"": 1.8813683}"
418551920284673408,star,10.12724197930297,56.53718879378639,70.9674036994468,49.12564571845064,-31.595374311196693,,"{""phot_g_mean_mag"": 1.9425238}"
4677205714465503104,star,69.1893185844083,-62.07749050901024,,,,,"{""phot_g_mean_mag"": 1.9587749}"
6026152137856166912,star,252.5375901889908,-34.294371751412214,,,,,"{""phot_g_mean_mag"": 1.9910356}"
4357027756659697664,star,243.58621066034064,-3.694967708333353,48.99248821782892,-45.34001940987892,-144.43272215287442,,"{""phot_g_mean_mag"": 2.0164251}"
426558460884582016,star,14.177450998208093,60.71672280471204,,,,,"{""phot_g_mean_mag"": 2.0645833}"
3011968416163350272,star,86.93912852502406,-9.669607137549676,,,,,"{""phot_g_mean_mag"": 2.0778263}"
5589311357728452608,star,109.2855942327878,-37.09744448527957,173.54894799253518,-11.561999924300896,6.520111466968526,,"{""phot_g_mean_mag"": 2.0832374}"
4993479684438433792,star,6.57215550145885,-42.30782032569077,25.051193267489218,176.2682926212513,-398.87213472266046,,"{""phot_g_mean_mag"": 2.0899775}"
4493746564376875520,star,263.7341968642716,12.559009843277153,,,,,"{""phot_g_mean_mag"": 2.1082857}"
142853330981747328,star,46.29487462677558,38.83980896875264,,,,,"{""phot_g_mean_mag"": 2.111629}"
2067518817314952576,star,305.55710787667306,40.2566736114266,,,,,"{""phot_g_mean_mag"": 2.1137252}"
4038055447778237312,star,274.4060904518451,-36.76242931758906,41.86578720948047,-131.80407046542277,-166.30893037257962,,"{""phot_g_mean_mag"": 2.1164951}"
1279798794197267072,star,221.24648617076684,27.074315757773466,72.32398048821292,-50.81825554241812,21.02352084436887,,"{""phot_g_mean_mag"": 2.1833525}"
160886283751041408,star,74.24843702624405,33.16601472318802,137.94882446792607,3.8169754472223434,-17.786274545345467,,"{""phot_g_mean_mag"": 2.1975422}"
1869302503206674304,star,311.5547590119282,33.9717003123585,,,,,"{""phot_g_mean_mag"": 2.2109652}"
5300300156538723328,star,139.2723686431627,-59.27517582046192,,,,,"{""phot_g_mean_mag"": 2.213786}"
4302054339959905920,star,296.5649857104696,10.613252703828636,178.893169365869,16.232737511703284,-1.354232773419788,,"{""phot_g_mean_mag"": 2.223692}"
6127791439360208640,star,190.3779930225551,-48.95978360109781,,,,,"{""phot_g_mean_mag"": 2.2270558}"
423018377034969216,star,2.299065428232552,59.14897576410493,,,,,"{""phot_g_mean_mag"": 2.232691}"
3220756843825383936,star,83.00165624929525,-0.2990788925812489,,,,,"{""phot_g_mean_mag"": 2.2487726}"
5534788672055388032,star,120.89585713760054,-40.00307350941095,,,,,"{""phot_g_mean_mag"": 2.2542944}"
3377072212924335488,star,93.71906923878568,22.50675368193066,,,,,"{""phot_g_mean_mag"": 2.2620378}"
1222646935698492160,star,233.67254376294215,26.714295174747274,23.673793629523573,118.92724128982546,-87.71096348146563,,"{""phot_g_mean_mag"": 2.2693703}"
5111187420714898304,star,59.507642022011794,-13.50901261093026,58.817893994475085,62.22700221870858,-112.00607671028064,,"{""phot_g_mean_mag"": 2.2707934}"
1563590579347125632,star,200.9823733653325,54.92525907860076,24.86740422106024,122.46748022957269,-22.68188642875364,,"{""phot_g_mean_mag"": 2.282647}"
4049506483413484672,star,275.24868220695066,-29.82822386700995,127.4409807924412,33.211995167893946,-27.36096961705406,,"{""phot_g_mean_mag"": 2.296982}"
6227443304915069056,star,226.0172005141403,-25.2821590562471,79.75337369381589,-73.48399761123272,-42.63214443753797,,"{""phot_g_mean_mag"": 2.3034124}"
804753180515722624,star,155.58176101601168,41.49966386040507,56.18382020205485,-73.74880343645458,28.25932499914457,,"{""phot_g_mean_mag"": 2.32451}"
5905821894507108864,star,220.4821588727846,-47.38827311759714,,,,,"{""phot_g_mean_mag"": 2.3246517}"
4429785739602747392,star,236.0675744297602,6.425832666908804,22.755730777422116,133.92233920144864,45.55042108403326,,"{""phot_g_mean_mag"": 2.3253543}"
2106630885454013184,star,283.83388403904866,43.94645113267487,95.78167534271242,20.136233498600635,81.34922542993326,,"{""phot_g_mean_mag"": 2.3616831}"
5922444483103229952,star,261.3248860596135,-55.52999691705136,219.29565868417288,-8.039169337949994,-25.92658289598858,,"{""phot_g_mean_mag"": 2.3912818}"
6407842789021567872,star,334.62477862508103,-60.25977542657531,56.39408480216896,-76.99973801843797,-32.82300860348311,,"{""phot_g_mean_mag"": 2.396663}"
856096765753549056,star,165.46097417209683,56.38257749355825,25.90466876088904,79.9586126663101,32.364540942038154,,"{""phot_g_mean_mag"": 2.3985364}"
3704342295607157120,star,193.89877797423057,3.3972301950318524,57.449867773772056,-469.7138768334123,-53.70998944969009,,"{""phot_g_mean_mag"": 2.4037774}"
5961206940987571200,star,265.62193838278046,-39.03009162628322,,,,,"{""phot_g_mean_mag"": 2.4227042}"
2193192137376175488,star,319.64633694354825,62.58579604829105,,,,,"{""phot_g_mean_mag"": 2.428267}"
792588939773693568,star,178.45836676657404,53.694797326318046,,,,,"{""phot_g_mean_mag"": 2.4362755}"
4473334474604992384,star,265.86794661822,4.568012245771951,25.491706364565864,-41.79318180686009,159.42988775386635,,"{""phot_g_mean_mag"": 2.4423249}"
3501215734352781440,star,188.59681758232725,-23.397012233844624,45.44436728828949,1.1162392204898848,-56.70396951863153,,"{""phot_g_mean_mag"": 2.448283}"
5605797194566011520,star,111.0237381697198,-29.30308298015172,,,,,"{""phot_g_mean_mag"": 2.4504085}"
2202630001603369856,star,325.8769443071388,58.78002783444686,8401.696244572746,3.4393409565980617,-4.108339831164347,,"{""phot_g_mean_mag"": 2.450726}"
4629125170492116224,star,56.81058395021464,-74.23845269276111,66.31587006111724,50.79864554281097,114.79143876879375,,"{""phot_g_mean_mag"": 2.4740036}"
5310393535853560576,star,140.52832321650078,-55.01061135363584,,,,,"{""phot_g_mean_mag"": 2.487886}"
702343774145932544,star,140.2625728404832,34.39263287351821,68.00779997124772,-218.7225628603156,16.555167975677605,,"{""phot_g_mean_mag"": 2.488654}"
1625209684868707328,star,245.9977069286059,61.51446351163256,27.998399270080576,-16.394368866203294,57.09390745268847,,"{""phot_g_mean_mag"": 2.494415}"
2816504901198512768,star,346.19050678740496,15.205082982106331,,,,,"{""phot_g_mean_mag"": 2.5036576}"
