source_id,source_class,ra_deg,dec_deg,distance_optional,proper_motion_ra_optional,proper_motion_dec_optional,radial_velocity_optional,metadata_json_optional
J0002+6216,pulsar,0.742375,62.26927777777777,,,,,"{""catalogue"": ""ATNF""}"
J0006+1834,pulsar,1.5200000000000002,18.583055555555557,,,,,"{""catalogue"": ""ATNF""}"
J0007+7303,pulsar,1.7570833333333333,73.05205555555555,,,,,"{""catalogue"": ""ATNF""}"
J0012+5431,pulsar,3.0970833333333334,54.52972222222222,,,,,"{""catalogue"": ""ATNF""}"
J0014+4746,pulsar,3.573958333333333,47.77594444444444,,,,,"{""catalogue"": ""ATNF""}"
J0021-0909,pulsar,5.464458333333333,-9.166305555555557,,,,,"{""catalogue"": ""ATNF""}"
J0023+0923,pulsar,5.820322908333334,9.389961222222222,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204aa,pulsar,6.023625,-72.08128333333333,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204ab,pulsar,6.03400625,-72.07988944444445,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204ac,pulsar,6.023625,-72.06805555555555,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204ad,pulsar,6.023625,-72.06805555555555,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204C,pulsar,5.959810833333334,-72.075418,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204D,pulsar,6.057837166666667,-72.07884788888889,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204E,pulsar,6.046272,-72.08893033333332,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204F,pulsar,6.016064458333334,-72.07856063888889,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204G,pulsar,6.033167916666667,-72.07769527777778,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204H,pulsar,6.02793,-72.06855741666666,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204I,pulsar,6.03306125,-72.07768930555555,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204J,pulsar,5.997532083333334,-72.06633077777778,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204L,pulsar,6.0157170833333335,-72.08247861111111,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204M,pulsar,5.97704125,-72.09187666666666,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204N,pulsar,6.038283333333334,-72.0746918611111,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204O,pulsar,6.019385583333333,-72.08160194444444,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204P,pulsar,6.083333333333333,-72.06944444444444,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204Q,pulsar,6.068712083333334,-72.07365677777777,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204R,pulsar,6.031604583333333,-72.08066538888889,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204S,pulsar,6.016580833333334,-72.07843138888889,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204T,pulsar,6.03562125,-72.07748111111111,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204U,pulsar,6.040985833333334,-72.06658005555555,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204V,pulsar,6.023625,-72.08128333333333,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204W,pulsar,6.025241666666667,-72.08030222222222,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204X,pulsar,6.093273541666667,-72.0215115,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204Y,pulsar,6.005844166666668,-72.07828786111111,,,,,"{""catalogue"": ""ATNF""}"
J0024-7204Z,pulsar,6.025170833333334,-72.08374444444443,,,,,"{""catalogue"": ""ATNF""}"
J0026-1955,pulsar,6.65,-19.93305555555556,,,,,"{""catalogue"": ""ATNF""}"
J0026+6320,pulsar,6.710670833333333,63.333575,,,,,"{""catalogue"": ""ATNF""}"
