experiment,condition,p_err_lt_1deg,median_err_deg
estimator,M3_stars_50/huber/pm=0.0,0.0,46.26617729754293
estimator,M3_stars_50/huber/pm=0.05,0.0,54.630611860867226
estimator,M3_stars_50/huber/pm=0.2,0.0,57.39456642707451
estimator,M3_stars_50/huber/pm=0.5,0.0,66.94266818543107
estimator,M3_stars_50/ls/pm=0.0,0.0005,52.12625490387345
estimator,M3_stars_50/ls/pm=0.05,0.0,50.36347413166859
estimator,M3_stars_50/ls/pm=0.2,0.0,54.36098159552713
estimator,M3_stars_50/ls/pm=0.5,0.0,66.36659888861075
estimator,M3_stars_50/ransac/pm=0.0,0.0,47.83414169482978
estimator,M3_stars_50/ransac/pm=0.05,0.0,59.47936930925373
estimator,M3_stars_50/ransac/pm=0.2,0.0,55.1906780859344
estimator,M3_stars_50/ransac/pm=0.5,0.0,57.107393503056926
estimator,M5_quasars_50/huber/pm=0.0,1.0,0.0151029708381851
estimator,M5_quasars_50/huber/pm=0.05,1.0,0.0166092724763442
estimator,M5_quasars_50/huber/pm=0.2,0.992,0.0226948978078228
estimator,M5_quasars_50/huber/pm=0.5,0.112,8.87470645950975
estimator,M5_quasars_50/ls/pm=0.0,1.0,0.0152995621230544
estimator,M5_quasars_50/ls/pm=0.05,0.4525,1.345643527851124
estimator,M5_quasars_50/ls/pm=0.2,0.0335,5.990362871344964
estimator,M5_quasars_50/ls/pm=0.5,0.0025,14.767849120547169
estimator,M5_quasars_50/ransac/pm=0.0,1.0,0.015004327523752
estimator,M5_quasars_50/ransac/pm=0.05,1.0,0.0165179867034931
estimator,M5_quasars_50/ransac/pm=0.2,1.0,0.0218925460012941
estimator,M5_quasars_50/ransac/pm=0.5,0.999,0.0603533023381332
estimator,M7_hybrid_all/huber/pm=0.0,0.9995,0.0459249261653468
estimator,M7_hybrid_all/huber/pm=0.05,0.996,0.0521593362955351
estimator,M7_hybrid_all/huber/pm=0.2,0.8395,0.089328946167485
estimator,M7_hybrid_all/huber/pm=0.5,0.108,12.338691805425947
estimator,M7_hybrid_all/ls/pm=0.0,0.5885,0.849553313807969
estimator,M7_hybrid_all/ls/pm=0.05,0.3165,1.811140249123711
estimator,M7_hybrid_all/ls/pm=0.2,0.097,7.686591459233893
estimator,M7_hybrid_all/ls/pm=0.5,0.0045,20.243858488152803
estimator,M7_hybrid_all/ransac/pm=0.0,0.998,0.2010459861071766
estimator,M7_hybrid_all/ransac/pm=0.05,0.997,0.2055625259056124
estimator,M7_hybrid_all/ransac/pm=0.2,0.9855,0.2253237371464782
estimator,M7_hybrid_all/ransac/pm=0.5,0.9135,0.2358680392567215
negative_control,E8|NC1_random_b,0.0,89.29123311748603
negative_control,E8|NC2_full_mismatch,0.0035,86.7479639372209
chirality,chirality=False,0.4975,1.0499226321963715
chirality,chirality=True,0.973,0.4250518345002
