manuscript_location,placeholder,reported_value,source_file,generating_script,verification_status
manuscript/main.md,best_alloc_p1_t1e+07,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,best_alloc_t1e+07,star 0 + pulsar 0 + quasar 20 + galaxy 0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,chir_off_p1,0.4975,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,chir_off_pmirror_wrong,0.4955,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,chir_on_p1,0.973,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,chir_on_pmirror_wrong,0.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,edge_bchir_injection_p1,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,edge_bchir_permutation_p1,0.9955,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,edge_bchir_substitution_p1,0.8135,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,edge_knnchir_injection_p1,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,edge_knnchir_permutation_p1,0.9965,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,edge_knnchir_substitution_p1,0.835,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_huber_pm0.0,0.9995,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_huber_pm0.2,0.8395,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_huber_pm0.5,0.108,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_ls_pm0.0,0.5885,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_ls_pm0.2,0.097,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_ls_pm0.5,0.0045,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_p1_t1e+07,0.9711,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_p1_t1e+08,0.0138,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_p1_t1e7_worst,0.719,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_ransac_pm0.0,0.998,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_ransac_pm0.2,0.9855,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,hybrid_ransac_pm0.5,0.9135,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,m1b_p1_t1e+03,0.5045,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,m1b_p1_t1e+04,0.483,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,m1b_p1_t1e+05,0.0265,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,m1b_p_invalid_t1e+06,0.966,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,m1b_subst_p1_t1e+04,0.247,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,nc1_p1,0.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,nc2_p1,0.0035,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,prec_bchir_32b_median_err,0.0016,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,prec_bchir_8b_median_err,0.04055,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,quasar_100_p1_t1e4,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,quasar_10_p1_t1e4,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,quasar_50_p1_t1e4,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,quasars50_p1_t1e+07,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,quasars50_p1_t1e8_e1,0.043,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,single_star_p_invalid_mean,1.0,results/summary_*.csv,scripts/manuscript_values.py,ok
manuscript/main.md,stars50_p1_t1e+07,0.0,results/summary_*.csv,scripts/manuscript_values.py,ok
