url,local_path,fetched_utc,version_or_date,bytes,sha256,license_access
https://www.atnf.csiro.au/research/pulsar/psrcat/proc_form.php?version=1.71&JName=JName&RaJ=RaJ&DecJ=DecJ&startUserDefined=true&c1_val=&c2_val=&c3_val=&c4_val=&sort_attr=jname&sort_order=asc&condition=&pulsar_names=&ephemeris=long&coords_unit=raj/decj&radius=&coords_1=&coords_2=&style=Long+with+last+digit+error&no_value=*&fsize=3&x_axis=&x_scale=linear&y_axis=&y_scale=linear&state=query&table_bottom.x=50&table_bottom.y=30,data/raw/atnf_psrcat.txt,2026-09-24T06:02:45.972539+00:00,,1270311,b5f876cab339b99385acb196782ba9d8de99e56da0a8c2f75c02ae436a49f362,ATNF Pulsar Catalogue (psrcat web query); public
https://gea.esac.esa.int/tap-server/tap/sync?REQUEST=doQuery&LANG=ADQL&FORMAT=csv&QUERY=SELECT+TOP+200+source_id%2C+ra%2C+dec%2C+parallax%2C+pmra%2C+pmdec%2C+radial_velocity%2C+phot_g_mean_mag+FROM+gaiadr3.gaia_source+WHERE+phot_g_mean_mag+%3C+6+ORDER+BY+phot_g_mean_mag+ASC,data/raw/gaia_dr3_bright.csv,2026-09-24T06:02:50.447246+00:00,DR3,22283,f7516c8d4fca8f50f18a9da02607204957526532f8e0aa37fa3deb5e28eeaa59,ESA Gaia Archive TAP sync query; public
https://datacenter.iers.org/products/reference-systems/celestial/icrf3/icrf3k.txt,data/raw/icrf3k.txt,2026-09-24T06:03:05.651478+00:00,,136511,ef653890860b9607776fac06106aaae4d9e843adadf14c82bb086a7d7df49b9a,"IERS Data Center, ICRF3 K-band catalogue; public"
